status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
5281959998_10151448659384999,"""It worries me that it might become more widespread and you have to get every deer you shoot tested,"" one hunter said.",States Confront the Spread of a Deadly Disease in Deer,link,https://www.nytimes.com/2018/01/08/science/chronic-wasting-disease-deer.html?smid=fb-nytimes&smtyp=cur,1/10/18 11:10,371,66,182,154,3,74,4,127,6,3
5281959998_10151448822744999,"For the last 14 years, a bodega owner has quietly taken in homeless men, allowing them to stay in the storeâ€™s cellar. He can't bear the idea of anyone out in the cold.","Down the Aisles, a Secret Shelter for the Homeless",link,https://www.nytimes.com/2018/01/10/nyregion/homeless-shelter-bodega-nyc-brooklyn.html?smid=fb-nytimes&smtyp=cur,1/10/18 10:55,2402,44,196,1752,589,43,1,14,0,3
5281959998_10151448807189999,"After days in which his very fitness for office was debated, Donald J. Trump appeared intent on demonstrating that he could handle the presidency.","Trumpâ€™s Negotiation on Immigration, Unfolding on Camera",link,https://www.nytimes.com/2018/01/09/us/politics/trump-immigration-meeting.html?smid=fb-nytimes&smtyp=cur,1/10/18 10:40,474,210,30,148,4,17,253,12,35,5
5281959998_10151448651199999,"The head of the largest coal mining company in the U.S. wrote a lengthy ""action plan"" last year for President Donald J. Trump. There's not much left undone.",How a Coal Baronâ€™s Wish List Became President Trumpâ€™s To-Do List,link,https://www.nytimes.com/2018/01/09/climate/coal-murray-trump-memo.html?smid=fb-nytimes&smtyp=cur,1/10/18 9:25,1538,153,395,267,4,56,16,79,1109,7
5281959998_10151448619889999,"""I was a liar to everybody but still, 23 years later, finally everybody can just eat crow. That's what I have to say.""",Tonya Harding Would Like Her Apology Now,link,https://www.nytimes.com/2018/01/10/movies/tonya-harding-i-tonya-nancy-kerrigan-scandal.html?smid=fb-nytimes&smtyp=cur,1/10/18 7:55,3829,710,342,2876,116,71,499,31,228,8
5281959998_10151448525879999,"The Reuters reporters had been investigating the existence of a mass grave in Myanmar amid what UN said was an ""ethnic cleansing"" campaign against Rohingya Muslims.",Reuters Reporters Are Charged in Myanmar With Obtaining State Secrets,link,https://www.nytimes.com/2018/01/10/world/asia/myanmar-reuters-reporters.html?smid=fb-nytimes&smtyp=cur,1/10/18 3:55,498,24,84,159,3,30,0,77,228,1
5281959998_1965386930345486,Mudslides have killed at least 13 people in a region of California devastated by fires last month.,Extreme Rain Causes Deadly Mudslides in California,video,https://www.facebook.com/nytimes/videos/1965386930345486/,1/10/18 1:25,1230,54,154,274,13,134,2,803,3,1
5281959998_1965316960352483,"â€œWhen my son told me he wasnâ€™t allowed to kneel, I cried like a baby.â€ù In a Louisiana town, racial tensions felt nationwide hit home for a young mother.",Taking a Knee and Taking Down a Monument,video,https://www.facebook.com/nytimes/videos/1965316960352483/,1/9/18 23:55,1138,114,261,643,79,7,10,369,30,0
5281959998_10151448404474999,"A federal judge ordered the Trump administration to restart the DACA program, saying the decision to kill it was improper.","Trumpâ€™s Decision to End DACA Was Improper, Judge Rules",link,https://www.nytimes.com/2018/01/09/us/trump-daca-improper.html?smid=fb-nytimes&smtyp=cur,1/9/18 23:25,14492,397,2146,11574,2433,262,132,12,64,15
5281959998_1965296000354579,"President Trump said legislation around an immigration overhaul should come from love, while also pushing for stronger security measures.",Trump Seeks a â€˜Bill of Loveâ€™ With Immigration Deal,video,https://www.facebook.com/nytimes/videos/1965296000354579/,1/9/18 21:55,986,430,78,357,21,37,399,8,162,2
5281959998_1965316623685850,Steve Bannon is stepping down from his post at Breitbart News. Hereâ€™s how he lost key conservative allies â€” including President Trump.,Bannonâ€™s Megaphone at Breitbart Goes Mute,video,https://www.facebook.com/nytimes/videos/1965316623685850/,1/9/18 20:55,1943,305,230,1131,81,51,663,6,7,4
5281959998_1965288597021986,"Deyshia Hargrave, a Louisiana middle school teacher, was charged with â€œremaining where forbidden and resisting an officerâ€ù after a confrontation at a school board meeting over educators' pay.",Teacher Is Led From School Board Meeting in Handcuffs,video,https://www.facebook.com/nytimes/videos/1965288597021986/,1/9/18 19:25,13606,1989,4306,1913,35,1807,51,513,9283,4
5281959998_10151447665919999,"From The New York Times Opinion Section: A worldwide influenza pandemic is literally the worst-case scenario in public health â€” yet far from an unthinkable occurrence. Unless we make changes, the question is not if but when it will come.",Opinion | Weâ€™re Not Ready for a Flu Pandemic,link,https://www.nytimes.com/2018/01/08/opinion/flu-pandemic-universal-vaccine.html?smid=fb-nytimes&smtyp=cur,1/9/18 16:55,400,61,133,280,13,40,1,60,4,2
5281959998_10151447900309999,"To the police, her daughter was ""just another missing teenager from the Bronx,â€ù she says. But she refused to give up the search for her.",Seeing More Than â€˜Just Another Missing Teenager From the Bronxâ€™,link,https://www.nytimes.com/2018/01/07/nyregion/seeing-more-than-just-another-missing-teenager-from-the-bronx.html?smid=fb-nytimes&smtyp=cur,1/9/18 16:40,234,6,19,165,18,2,1,45,1,2
5281959998_1965221403695372,"North Korea has agreed to send athletes to the 2018 Winter Games in South Korea, but the Olympics have long been a window into geopolitics between the 2 sides.",Can the Olympics Bring the Koreas Together?,video,https://www.facebook.com/nytimes/videos/1965221403695372/,1/9/18 15:40,740,56,98,655,37,36,5,4,2,1
5281959998_10151447873719999,"For a player who has been the epitome of the New England Patriots team-first philosophy, Tom Brady would seem an unlikely candidate to open such a close-up lens upon his off-field self.",Tom Brady Gave a Filmmaker Unusual Access to His Private Life,link,https://www.nytimes.com/2018/01/09/sports/football/tom-brady-patriots.html?smid=fb-nytimes&smtyp=cur,1/9/18 14:34,312,90,50,273,17,16,3,0,1,2
5281959998_10151447821434999,"Breaking News: President Donald J. Trump said he was open to a broad deal that addresses the status of millions of undocumented immigrants: ""I'll take the heat.""",Trump Appears to Endorse Path to Citizenship for Millions of Immigrants,link,https://www.nytimes.com/2018/01/09/us/politics/trump-daca-immigration.html?smid=fb-nytimes&smtyp=cur,1/9/18 13:47,1436,489,218,925,32,185,259,2,27,6
5281959998_10151447802374999,"2 Latina singers, the sopranos AILYN PÃ‰REZ and Nadine Sierra, are currently starring in ""The Marriage of Figaro"" at The Metropolitan Opera. We're there to hear them perform. Leave your questions for them in the comments, and The New York Times reporter Josh Barone will ask some.",,video,https://www.facebook.com/nytimes/videos/10151447802374999/,1/9/18 13:35,3569,978,961,1950,1508,82,13,8,6,2
5281959998_10151447686064999,"President Donald J. Trump is planning to travel to Davos for the World Economic Forum, an event that is synonymous with wealth and elite prestige.",Trump Plans to Attend the World Economic Forum in Davos,link,https://www.nytimes.com/2018/01/09/us/politics/trump-davos-world-economic-forum.html?smid=fb-nytimes&smtyp=cur,1/9/18 11:56,1086,529,116,294,14,32,282,29,429,6
5281959998_10151447536839999,"A megachurch pastor received a standing ovation after he admitted that he had engaged in a ""sexual incident"" with a high school student 20 years ago.",Memphis Pastor Admits â€˜Sexual Incidentâ€™ With High School Student 20 Years Ago,link,https://www.nytimes.com/2018/01/09/us/memphis-megachurch-sex-assault.html?smid=fb-nytimes&smtyp=cur,1/9/18 9:53,13104,2533,2137,1305,22,1743,232,394,9397,11
5281959998_10151447273159999,Publicists said it was highly likely that some of the men were terrified of making missteps on the world's stage.,"After Globes, Women Declare Success. But What About the Men?",link,https://www.nytimes.com/2018/01/08/movies/after-globes-women-declare-success-but-what-about-the-men.html?smid=fb-nytimes&smtyp=cur,1/9/18 9:25,720,316,55,530,37,9,127,4,7,6
